"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","TokenValue","USDValueDayOfTx","ContractAddress","TokenName","TokenSymbol"
"0x8dca2231604d05a1edbed59afe62ebc8a1c3ec1175ebfee8079a41a3fa0a7479","14218680","1645034743","2022-02-16 18:05:43","0xbe25a20497bce2764659e102f8c1bdbdc4d8db5c","0x79635b386b9bd6636cd701879c32e6dd181c853f","9,405","$9,395.54","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x8dca2231604d05a1edbed59afe62ebc8a1c3ec1175ebfee8079a41a3fa0a7479","14218680","1645034743","2022-02-16 18:05:43","0xbe25a20497bce2764659e102f8c1bdbdc4d8db5c","0xf37fd9185bb5657d7e57ddea268fe56c2458f675","5,400","$5,394.57","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x8dca2231604d05a1edbed59afe62ebc8a1c3ec1175ebfee8079a41a3fa0a7479","14218680","1645034743","2022-02-16 18:05:43","0xbe25a20497bce2764659e102f8c1bdbdc4d8db5c","0xea68b44b3584bb82ce71b776aeb987fa22897fd9","4,800","$4,795.17","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x8dca2231604d05a1edbed59afe62ebc8a1c3ec1175ebfee8079a41a3fa0a7479","14218680","1645034743","2022-02-16 18:05:43","0xbe25a20497bce2764659e102f8c1bdbdc4d8db5c","0x407323bee2ae3d90819a3f32cfca086daedc8ab9","2,000","$1,997.99","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x8dca2231604d05a1edbed59afe62ebc8a1c3ec1175ebfee8079a41a3fa0a7479","14218680","1645034743","2022-02-16 18:05:43","0xbe25a20497bce2764659e102f8c1bdbdc4d8db5c","0xa928ebb0467b4556a766028c50d0350586046cad","4,477","$4,472.50","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x57daaf33bd8afd6fb7045d83cf742b42462d298e7131d7194e1293036f5811af","14338572","1646640447","2022-03-07 08:07:27","0xbe25a20497bce2764659e102f8c1bdbdc4d8db5c","0x79635b386b9bd6636cd701879c32e6dd181c853f","9,120","$9,120.50","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0x57daaf33bd8afd6fb7045d83cf742b42462d298e7131d7194e1293036f5811af","14338572","1646640447","2022-03-07 08:07:27","0xbe25a20497bce2764659e102f8c1bdbdc4d8db5c","0xf37fd9185bb5657d7e57ddea268fe56c2458f675","4,800","$4,800.26","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0x57daaf33bd8afd6fb7045d83cf742b42462d298e7131d7194e1293036f5811af","14338572","1646640447","2022-03-07 08:07:27","0xbe25a20497bce2764659e102f8c1bdbdc4d8db5c","0xea68b44b3584bb82ce71b776aeb987fa22897fd9","4,800","$4,800.26","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0x57daaf33bd8afd6fb7045d83cf742b42462d298e7131d7194e1293036f5811af","14338572","1646640447","2022-03-07 08:07:27","0xbe25a20497bce2764659e102f8c1bdbdc4d8db5c","0x407323bee2ae3d90819a3f32cfca086daedc8ab9","2,000","$2,000.11","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0x57daaf33bd8afd6fb7045d83cf742b42462d298e7131d7194e1293036f5811af","14338572","1646640447","2022-03-07 08:07:27","0xbe25a20497bce2764659e102f8c1bdbdc4d8db5c","0xa928ebb0467b4556a766028c50d0350586046cad","1,369","$1,369.08","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0xcee1b3bd651f9a9e5b449e4ce38bbc0f0b9236e1b3adfb5a60d3b498300cdeea","14338584","1646640594","2022-03-07 08:09:54","0xbe25a20497bce2764659e102f8c1bdbdc4d8db5c","0xb5d10c786b3653ddad5e5853ff0c137b410f958e","2,400","$2,396.56","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x47c5fd31e94e5379215bd52d8bca535f1889c0c2ad4f7a82e1936f556ac4c68e","14533730","1649267392","2022-04-06 17:49:52","0xbe25a20497bce2764659e102f8c1bdbdc4d8db5c","0x00cbb5f42ced86d5f24019aa10bc58355f7faa6a","14,190","$14,189.72","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0x2cd1907e6ba5122e9476f9d3c92d27d8e481d2d8de3a5dd3fdf8e4019d9fd91a","14533860","1649269212","2022-04-06 18:20:12","0xbe25a20497bce2764659e102f8c1bdbdc4d8db5c","0xb5d10c786b3653ddad5e5853ff0c137b410f958e","600","$600.90","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x459e7eaced3c681586972dca8b3e7b7c4f1dc8a8a4ae1c87bde169644bcb830f","14533924","1649270124","2022-04-06 18:35:24","0xbe25a20497bce2764659e102f8c1bdbdc4d8db5c","0x79635b386b9bd6636cd701879c32e6dd181c853f","10,470","$10,469.79","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
